0,Amr Alaa Eldin,Chief Information Officer (CIO),Information Technology (IT), Amr Alaa Eldin,1
1,Luai Waleed,Chief Marketing Officer (CMO),Marketing, Luai Waleed,1
2,Ziad Mohamed,Chief Financial Officer (CFO),Finance and Accounting, Ziad Mohamed,1
3,Ziad Nasser,Chief Sales Officer (CSO),Sales, Ziad Nasser,1
4,Ahmed Khalid,Software Developer,Information Technology (IT), Amr Alaa Eldin,0
5,Fatima Abdullah,IT Support Specialist,Information Technology (IT), Amr Alaa Eldin,0
6,Ali Hasan,IT Support Specialist,Information Technology (IT), Amr Alaa Eldin,0
7,Aisha Omar,Cybersecurity Analyst,Information Technology (IT), Amr Alaa Eldin,0
8,Zainab Omar,Content Writer,Marketing, Luai Waleed,0
9,Khadija Ahmed,Social Media Specialist,Marketing, Luai Waleed,0
10,Abdullah Noor,Market Research Analyst,Marketing, Luai Waleed,0
11,Zainab Ali,Market Research Analyst,Marketing, Luai Waleed,0
12,Hasan Kareem,Financial Analyst,Finance and Accounting, Ziad Mohamed,0
13,Mariam Jamal,Financial Analyst,Finance and Accounting, Ziad Mohamed,0
14,Khalid Youssef,Payroll Specialist,Finance and Accounting, Ziad Mohamed,0
15,Yasmin Bilal,Internal Auditor,Finance and Accounting, Ziad Mohamed,0
16,Bilal Rania,Account Executive,Sales, Ziad Nasser,0
17,Layla Ahmed,Sales Support Specialist,Sales, Ziad Nasser,0
18,Jamal Hana,Sales Support Specialist,Sales, Ziad Nasser,0
19,Noor Khalid,Business Development Representative,Sales, Ziad Nasser,0
